iter	Logloss
0	0.6457972909
1	0.6059331336
2	0.5749230702
3	0.5474842713
4	0.5262800266
5	0.5070087722
6	0.4887610072
7	0.4752804261
8	0.4637258771
9	0.4529959097
10	0.4436816013
11	0.43419274
12	0.4259074546
13	0.4205763484
14	0.4147723117
15	0.4113799477
16	0.4064025054
17	0.4021159504
18	0.3974391739
19	0.3934413901
20	0.3892873439
21	0.3862682428
22	0.3840010828
23	0.3810445289
24	0.3790000868
25	0.3774029136
26	0.3746941577
27	0.3728615439
28	0.3709264573
29	0.3683044707
30	0.3664724149
31	0.3651162964
32	0.3639350929
33	0.3628029541
34	0.3616547619
35	0.3605274579
36	0.3596920343
37	0.3582057116
38	0.357337217
39	0.3562718507
40	0.3554017874
41	0.3540830867
42	0.3533908992
43	0.3525392037
44	0.3516588946
45	0.350592411
46	0.3495855406
47	0.3485014122
48	0.3479440097
49	0.3471370347
50	0.3457979978
51	0.345295161
52	0.3444873672
53	0.3435583466
54	0.3429032329
55	0.3422248346
56	0.3416676891
57	0.3409975422
58	0.3402565529
59	0.3395545972
60	0.3387047294
61	0.3381982227
62	0.3378629169
63	0.3366348473
64	0.3360537188
65	0.3354948409
66	0.3347813809
67	0.334350511
68	0.3337968832
69	0.3333769065
70	0.3331187154
71	0.3327624306
72	0.3324673451
73	0.3322374421
74	0.331788666
75	0.3311806362
76	0.3306816
77	0.330082067
78	0.3295682926
79	0.3292451315
80	0.328926764
81	0.3284469297
82	0.3280887046
83	0.3276972182
84	0.3275459795
85	0.3273705405
86	0.3269827602
87	0.3264857189
88	0.3263383191
89	0.3260916223
90	0.3257987682
91	0.3255050284
92	0.325310158
93	0.325048925
94	0.3246178498
95	0.3243477536
96	0.3241673799
97	0.3239854782
98	0.3234639707
99	0.3233593408
100	0.3229029423
101	0.3225676268
102	0.3223232692
103	0.321892345
104	0.3214299613
105	0.3213300376
106	0.3210507366
107	0.32055177
108	0.3202615813
109	0.3196544701
110	0.3193708858
111	0.31907529
112	0.3189406955
113	0.3185403386
114	0.318357768
115	0.3180656369
116	0.3178469698
117	0.3173352913
118	0.3170560888
119	0.3168294724
120	0.3165408111
121	0.3163371071
122	0.3161230455
123	0.3158552255
124	0.3153222445
125	0.315209358
126	0.3147762786
127	0.3145075801
128	0.3139037218
129	0.3136600892
130	0.3133787462
131	0.3130849028
132	0.3127069366
133	0.3124238316
134	0.3122651934
135	0.3119425156
136	0.3117766079
137	0.3113890194
138	0.3111474163
139	0.3109313958
140	0.31075592
141	0.3104630203
142	0.3099327727
143	0.3096490175
144	0.3095279027
145	0.3092441059
146	0.3089369414
147	0.3086771927
148	0.3085188017
149	0.3082996102
150	0.3082256957
151	0.3079911638
152	0.307870465
153	0.3076492236
154	0.3073823518
155	0.3070090904
156	0.3067676576
157	0.3064892179
158	0.3063047588
159	0.3059580315
160	0.3058305004
161	0.305690335
162	0.30561237
163	0.3053705693
164	0.3050423683
165	0.3048572108
166	0.3047162941
167	0.3044764132
168	0.3041749007
169	0.3039057744
170	0.3038587593
171	0.3037350433
172	0.3037037785
173	0.3036447666
174	0.3033904437
175	0.3031775923
176	0.3029333429
177	0.3027771628
178	0.3025471839
179	0.3022901001
180	0.3021216095
181	0.301927145
182	0.3018034738
183	0.30164363
184	0.3015101958
185	0.3013481645
186	0.301163928
187	0.3011018025
188	0.3010152891
189	0.3007915384
190	0.3007029779
191	0.3006319384
192	0.3004777516
193	0.3003455575
194	0.300194649
195	0.3001202798
196	0.2999399504
197	0.2997971768
198	0.2996711268
199	0.2994042611
