iter	Passed	Remaining
0	12	2475
1	24	2393
2	35	2326
3	46	2278
4	57	2228
5	67	2169
6	77	2132
7	87	2094
8	96	2056
9	107	2043
10	117	2021
11	127	1997
12	137	1970
13	146	1950
14	157	1940
15	167	1931
16	179	1934
17	190	1924
18	200	1908
19	211	1899
20	220	1879
21	230	1866
22	240	1849
23	249	1829
24	258	1812
25	268	1794
26	278	1781
27	288	1770
28	298	1759
29	307	1744
30	316	1727
31	326	1713
32	336	1702
33	346	1689
34	355	1676
35	365	1663
36	374	1651
37	384	1638
38	393	1623
39	403	1614
40	413	1602
41	424	1598
42	435	1590
43	445	1580
44	455	1569
45	466	1560
46	476	1550
47	486	1539
48	497	1532
49	507	1523
50	518	1513
51	527	1500
52	536	1486
53	546	1476
54	555	1464
55	564	1452
56	574	1440
57	583	1428
58	592	1416
59	603	1408
60	613	1396
61	622	1385
62	631	1373
63	641	1363
64	650	1351
65	660	1340
66	670	1330
67	679	1319
68	689	1309
69	698	1297
70	707	1285
71	717	1274
72	726	1264
73	735	1252
74	745	1242
75	754	1230
76	763	1219
77	772	1208
78	782	1198
79	791	1187
80	801	1177
81	811	1167
82	820	1156
83	830	1146
84	839	1135
85	849	1125
86	858	1114
87	867	1104
88	876	1093
89	885	1082
90	894	1071
91	904	1061
92	913	1050
93	919	1037
94	929	1027
95	938	1017
96	948	1006
97	957	996
98	966	986
99	975	975
100	985	965
101	994	955
102	1003	945
103	1013	935
104	1023	925
105	1031	915
106	1041	905
107	1050	895
108	1060	885
109	1070	875
110	1079	865
111	1089	855
112	1098	845
113	1107	835
114	1116	825
115	1125	815
116	1135	805
117	1144	795
118	1154	785
119	1164	776
120	1175	767
121	1184	757
122	1193	747
123	1202	737
124	1212	727
125	1221	717
126	1231	707
127	1240	698
128	1250	688
129	1260	678
130	1269	668
131	1279	658
132	1288	649
133	1297	639
134	1307	629
135	1316	619
136	1325	609
137	1334	599
138	1344	589
139	1353	580
140	1362	570
141	1372	560
142	1381	550
143	1391	541
144	1400	531
145	1409	521
146	1419	511
147	1429	502
148	1438	492
149	1447	482
150	1455	472
151	1465	462
152	1475	453
153	1485	443
154	1495	434
155	1506	424
156	1516	415
157	1525	405
158	1535	395
159	1544	386
160	1553	376
161	1562	366
162	1571	356
163	1581	347
164	1592	337
165	1601	328
166	1611	318
167	1620	308
168	1630	299
169	1639	289
170	1648	279
171	1657	269
172	1666	260
173	1674	250
174	1683	240
175	1693	230
176	1702	221
177	1712	211
178	1721	201
179	1730	192
180	1739	182
181	1748	172
182	1757	163
183	1767	153
184	1776	144
185	1785	134
186	1795	124
187	1804	115
188	1813	105
189	1823	95
190	1831	86
191	1840	76
192	1849	67
193	1858	57
194	1868	47
195	1878	38
196	1887	28
197	1896	19
198	1905	9
199	1914	0
